"";"x"
"5012";"Μυτιλήνη: Πυρκαγιά σε δομή του Καρά Τεπέ "
"5013";"@vassiouti &lt;&lt;&lt; Η ευκολία με την οποία τέτοιες καταγγελίες παρουσιάστηκαν ως τουρκική προπαγάνδα απαιτεί κατ' εμέ να ερευνηθεί κ αν όντως είναι έτσι να αποδειχτεί και ως τέτοια. Η δε μελέτη του Forensic ήταν προσεχτική και θέτει σοβαρά ζητήματα προς περαιτέρω διερεύνηση. Οφείλουμε Ναι &lt;&lt;"
"5014";"Προκαλεί ο Τούρκος υπουργός Εσωτερικών: Tα χειρότερα έρχονται για την Ελλάδα - Αλλαγή τακτικής από Erdogan με τη διέλευση μεταναστών στο Αιγαίο "
"5015";"Στο Βερολίνο το κρίσιμο ραντεβού Μητσοτάκη - Merkel τη Δευτέρα 9/3 - Στην ατζέντα το προσφυγικό και η κατάσταση στα σύνορα "
"5016";" "
"5017";"Γεωργιάδης: Η αποφασιστικότητα της Κυβερνήσεως κάνει τις μηδενικές ροές γιατί πλέον ξέρουν όλοι ότι τα σύνορα φυλάσσονται και δεν έχουν μέλλον στην Ελλάδα"
"5018";"Πράσινο φως για την κατασκευή κλειστού κέντρου κράτησης μεταναστών στις Σέρρες "
"5019";"Πυροβολισμοί με τραυματία έναν Αλβανό στο Παλαιό Φάληρο "
"5020";" "
"5021";" "
"5022";" "
"5023";"@costas_lainis @periodistagr Δεν κρύβονται πια... είναι υπερ του Ερντογάν κ κατά της Ελλάδας."
"5024";"@natkli @atlas9CO @minastrati @Savvas_Athens @giannisasima @Dimi_Zaharakis @NikoSpagopoulos @kodonakis @ManiaVarvi @gmilissis Ευχαριστώ Αναστασία"
"5025";"@ADOKITOS Έτσι ακριβώς.."
"5026";"«Καταπληκτικό βιβλίο. Το αγαπήσαμε. Και παιδιά και γονείς ενθουσιασμένοι.»"
"5027";"Παναθηναϊκός: Rotation των... τριών - ΛΙΩΝΟΥΝ στο παρκέ οι Καλάθης, Τόμας &amp; Παπαπέτρου | Eurohoops "
"5028";"πως μου βάλαν κι οι φίλοι μου καρφιά."
"5029";"Ευκολες ερωτησεις , διωξτους ολους  #adinamiskrikosgr"
"5030";"#stinigiamas"
"5031";"όλος ο κόσμος είσαι εσύ. Κομματαρα απο Μαρινελλα"
"5032";"Φωναξτε βρε οτι αρχισε #adinamoskrikosgr"
"5033";"κι αγάπη ωραία"
"5034";"Ο Κωστας θα ειναι ανετα ο νικητης αν δεν το φανε  #adinamoskrikosgr"
"5035";"Και τα παράπονα που έχω να του πω"
"5036";"να `χα την καρδιά σου, αετέ, "
"5037";"@Giorgos_1972 Θενκς, Τζωρτζ.<U+2764><U+0001F60A><U+0001F64F>"
"5038";"@MMmP7YiXGEpqMJO Θεενκς.<U+0001F917><U+2764><U+0001F64F>"
"5039";"@AfAfroditi Μερσί, Αφροδιτούλα.<U+2764><U+0001F917><U+0001F64F>"
"5040";"@xrhstinak @JohnMilonas25 @Fania24056791 Ευχαριστώ, Χριστινάκι.<U+2764><U+0001F917><U+0001F64F>"
"5041";"@AnzelicF Θενκς, λαβ.<U+0001F49B><U+0001F5A4><U+0001F917>"
"5042";"@paristzina Ακριβώς. Φχαριστώ πολύ.<U+0001F60A><U+2764><U+0001F64F>"
"5043";"@Born_Greek @MsLouellaDeVil Και έλεγα τι μου θυμίζει <U+0001F602> "
"5044";"@MsLouellaDeVil @MMASTEROFLIFE Ευτυχώς δεν πρόκειται να τους δείτε να σουλατσάρουν απο την μέσα πλευρά των συνόρων. Τα λαθροΌρκς έχουν καταλάβει ότι Ελλάδα δεν θα δουν ποτέ και έτσι δεν έχουν πρόβλημα να αποκαλύψουν την πραγματική ποιότητα της φάρας τους <U+0001F4A9>"
"5045";"@ndmushroom @KostasVaxevanis @AdonisGeorgiadi Και μόνον που συμφωνείς με τον αρχισυκοφάντη Βαξεβάνη κατατάσσεσαι αμέσως στους ηλιθίους που χαντάκωσαν την χώρα."
"5046";"@ndmushroom @KostasVaxevanis @AdonisGeorgiadi <U+02BC>σε τον κορωνοϊό και πήγαινε στην Κουμουνδούρου να παραλάβεις το παράσημο του βλάκα που ακόμη ξιφουλκεί υπέρ του χειρότερου κυβερνητικού ""έργου""."
"5047";"@ndmushroom @KostasVaxevanis @AdonisGeorgiadi Θαυμάζω τον μεστό λόγο του ανθρώπου που θα με πείσει για την πιό έξυπνη διαπραγμάτευση όλων των εποχών από το δίδυμο της συμφοράς."
"5048";"13 ευρώ το μπουκάλι το αντισυπτηκο και 7 ευρώ το μπουκάλι το τσίπουρο από το χωριό."
"5049";"Αυτό είναι ό,τι πιο ανησυχητικό έχει συμβεί και πρέπει να προβληματίσει πολύ την ΕΥΠ. "
"5050";"Προσέξτε όμως, γιατί ο λαός δεν θα αρκεστεί σε ιστορικές διαπιστώσεις. Θα σας λιντσάρει και θα σας κρεμάσει στις πλατείες. Σκουλήκια!"
"5051";"Σέρουμ που περιέχει μαύρη βλέννα σαλιγκαριού για αποτέλεσμα Botox <U+2714><U+FE0F>   #Eprosfores"
"5052";"#TeoKanistras <U+0095>  <U+0095> Πώς θα μπορέσουμε να αποφύγουμε τις εποχικές ιώσες που «κουβαλά» η άνοιξη; "
"5053";"#TeoKanistras <U+0095>  <U+0095> <U+0093>Η Απολογία της Μαρί Κιουρί<U+0094> στη Θεσσαλονίκη "
"5054";"@KAPOL966 Καλημέρα κορίτσι μου ναι δεν χρειάζεται πανικός. <U+0001F33B><U+0001F337><U+0001F339>"
"5055";"Μυτιλήνη:Έφτασαν και<U+0085> οι Γερμανοί νεοΝαζί  "
"5056";"@Kathimerini_gr Απο ποιά μεριά;"
"5057";"@ValGroundHog Εκει βρισκονται καθε βραδυ. Εκει μενουν οι γκομενοι τους"
"5058";"@100_axiologisi Ναναι ""προικισμενος"", που λέγαν κ οι παλιοι"
"5059";"@Aristeidis_B Είναι πολύ δύσκολο θέμα... Στην Ελλάδα βοηθάει ο ζεστός καιρός αλλά και πάλι δεν είναι σίγουρο ότι η ζέστη λειτουργεί αποτρεπτικά... Σίγουρα όμως όλοι οι άνω των 65+ με προβλήματα υγείας πρέπει να περιορίσουν τις μετακινήσεις τους"
"5060";"Ο υπ.εσωτερικών Τουρκίας είπε ότι όσο καλοκαιριαζει ο Μητσοτάκης δε θα μπορεί να κρατήσει τα σύνορα και ότι θα περάσουν οι μετανάστες. Ας τον ενημερώσει κάποιος ότι ο Μητσοτάκης με την λαϊκή αποδοχή που έχει μπορεί να τους κλείσει και το σπίτι μαζί με τα σύνορα #IStandWithGreece"
"5061";"@100_axiologisi @vel_theGreek @akrokentrwos @machiavelli_gr Το νούμερο στο πουκάμισο είναι τόσο όσο... Το ιδανικο"
"5062";"@mrP2050 @PGPapanikolaou Να πας να κοινωνήσεις. Δεν θα μας λείψεις"
"5063";"@tattan27051975 Ευτυχώς που πίσω τους κρύβεται μια μεγάλη καρδιά!"
"5064";"@mrThoughtnick @melodylover99 @kate_rinq Καλα καλα. Δεν αγνοώ τπτ. "
"5065";"τουρκαλαδες να  χαιρεστε το δικτακτορα σας .."
"5066";"@sfigka Το πιστευω αρκει  να το κανουν οι πολιτικοι μας "
"5067";"Αυτή θα είναι η καλή <U+0001F609>"
"5068";"Όταν οι άνθρωποι φεύγουν από δίπλα σου κ μένεις μόνος ξανά κ ξανα κάπου,κάτι φίλε μου κάνεις λάθος..Ψαξτο..<U+0001F609>"
"5069";"@To_pouli_tou_Ro Που έγινε???"
"5070";"Αυτές μου έστειλε η Ελένη...."
"5071";"@AonDuine_k @platitudinous Το...προσπαθουν...ειναι σχημα λόγου. Επιχειρούν... Αν προσπαθούσαν θα ειχαν κανει τις σωστές κινησεις απο 23 Φεβρουαρίου"
"5072";"@revenger1860 Πραγματικά όταν βγαίνει στο δρόμο την φτύνει κάνεις;"
"5073";"@DimoYagcioglu @hellaspecial @NKoufoudakis @lexicon_gr Στους ήχους πχ οι <U+02BC>γγλοι έχουν μεταφέρει πολύ ωραία λέξεις..."
"5074";"#adinamoskrikosgr"
"5075";"Με αφορμή την Παγκόσμια Ημέρα της Γυναίκας: Το Σινεμά στην εποχή του κινήματος #MeToo - 10 ταινίες που νίκησαν τα στερεότυπα  #IWD2020 #InternationalWomensDay2020 <U+0001F3AC><U+0001F4FD><U+FE0F><U+270A> "
"5076";"ΠΑΟΚ <U+0096> Περιστέρι 68-75: Πέταξε το Περιστέρι, πιο κοντά στην Α2 ο Δικέφαλος  #superbasket.gr"
"5077";"#Κυνοδρομιες #Greyhounds #doggystlye #dogracing"
"5078";"Συμβουλές και επιλογές από τους αγώνες στις διεθνείς κυνοδρομίες καθημερινά και αποκλειστικά στο kolpobet"
"5079";"@gingercraze Ότι στάζει καλό είναι"
"5080";"Ο <U+02BC>ρης Τρίτσης, Διδάκτορας του Πανεπιστημίου Κρήτης και του ΙΤΕ βραβεύεται από την Ευρωπαϊκή Αστρονομική Εταιρεία "
"5081";"Τερηδόνα, ουλίτιδα, περιοδοντίτιδα: 3 συχνά προβλήματα δοντιών και η αντιμετώπιση -  "
"5082";"Γυρίζω στην ΕΡΤ και πέφτω πάλι πάνω στα παράνομα φιλιά μου ..τι γίνεται απόψε ?#stinigiamas"
"5083";"@Sot_Charal Εγώ χαμπάρι δεν παίρνω.. Πώς σκατα το καταλαβαίνετε μερικοί"
"5084";"@theoteo12000 Χρόνια πολλά κι ευτυχισμένα."
"5085";"Έξω απλά βλέπεις ανθρώπους. "
"5086";"Η αντίδραση του Αλέξη Κούγια στη συνέντευξη του Χρήστου Πανόπουλου"
"5087";"@Chris7agr Σ Ευχαριστώ πολύ επίσης αντευχομαι"
"5088";"βραδυνη βόλτα "
"5089";"Νεκρός βουλευτής του Ιράν από τον νέο κορωνοϊό"
"5090";"Από την εταιρία ERGANET AE ζητούνται: #skywalkergr #aggeliesergasias #ergasia "
"5091";"Γκάλοπ News 24/7: Σας αρέσει η νέα πλατεία Ομονοίας; Τι μας είπαν οι πολίτες  "
"5092";"Κορονοϊός - Ιταλία: Θετικός στον ιό ο γραμματέας του Δημοκρατικού Κόμματος  "
"5093";"Ο Ερντογάν προσπαθεί να κλείσει το θαλάσσιο πέρασμα και πιέζει κατευθύνοντας πρόσφυγες και μετανάστες στον Έβρο. "
"5094";"Καμαρώνουν στη σοβαρή ΧΑ που δέρνουν τους γιατρούς χωρίς σύνορα, οι ναζί ξανάρχονται"
"5095";"Μανόλο Πετσίτης, <U+02BC>κης &amp; λοιποί ΣΥΡΙΖαίοι;"
"5096";"Απόδειξη της τσαπατσουλιάς &amp; της ρηχής σου σκέψης, είναι πως δεν μπορείς να μου περιγράψεις αυτό που αποκαλείς ... Αστική Τάξη!"
"5097";"Μάθε το από εμένα λοιπόν. "
"5098";"@ManolisDelta @machiavelli_gr Φυσικά και παίζει ρόλο η αριθμητική υπέροχη, εκτός και αν έχεις πυρηνικές κεφαλές, περισσότερος κόσμος σημαίνει και περισσότερα άρματα κλπ που μπορείς να επανδρώσεις, δε θέλει πολύ μυαλό, αλλά για μένα σημαντικότερο είναι ότι είναι ζεστοί, γιατί όπως είπα πολεμάνε μια ζωη"
"5099";"H Mercedes-Benz μειώνει την γκάμα των μοντέλων της  "
"5100";"Αν έχεις ερωτευτεί άντρα Ιχθύ, ξανασκέψου το! Ορίστε το γιατί...  "
"5101";"@Mariakoras Ευχαριστώ πολύ Μαρία, να είσαι καλά <U+0001F618><U+0001F370><U+0001F339>"
